Title,roomicons,Title1,singleroomtext,Title2,furareea,furareea6,furareea7
"2,500,000",7,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Alagomeji Alagomeji Yaba Lagos,200sqm bungalow in Alagomeji Yaba for rent , beds, baths, Toilets
"30,000,000",11,COMMERCIAL PROPERTY FOR RENT,Omole Phase 1 Omole Phase 1 Ojodu Lagos,"For Lease: Twenty-One Bed Hotel With Conference Hall, Business Center, Event Center, Office Hub, Traning Center, Royal Suit, Sweet Single, Amongho Double, Ambassadorial Suit, Presidential Suit, Pinnacle Suit (Room&Parlour) And Basic Facilities", beds,10 baths,10 Toilets
"7,500,000",11,3 BEDROOM FLAT / APARTMENT FOR RENT,"Off Sanusi Fanfuwa street, Victoria Island Lagos",Lovely state of the art massive 3 bedroom apartments with 1 room bq. ,3 beds,3 baths,4 Toilets
"67,000,000",10,WAREHOUSE COMMERCIAL PROPERTY FOR RENT,Ilassmaja Ilasamaja Mushin Lagos,Clean 4500sqm Warehouse On Apapa/Oshodi Expressway Lagos For Rent, beds, baths, Toilets
"2,100,000",6,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Alagomeji Alagomeji Yaba Lagos,Clean Serviced 70sqm Office Space,0 beds,0 baths,1 Toilets
"6,000,000",5,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Mobolaji bank Anthony way Mobolaji Bank Anthony Way Ikeja Lagos,Clean Serviced 120sqm Office Space On Mobolaji Bank Anthony Way Imeja For Rent, beds, baths,2 Toilets
"3,500,000",13,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Julie estate oregun Oregun Ikeja Lagos,New Executive 3bedroom Terrace Duplex With Bq,3 beds,5 baths,5 Toilets
"350,000,000",10,BLOCKS OF FLATS HOUSE FOR RENT,"Olu Holloway (Temple), Old Ikoyi Ikoyi Lagos",30 Units of fully serviced & Luxury Apartments (24 Units of 3 Bed Maisonttes & 6 Units 1 Bed Apartments) , beds, baths, Toilets
"10,000,000",19,WAREHOUSE COMMERCIAL PROPERTY FOR RENT,"directly facing Lekki-Epe Expressway, Awoyaya Ajah Lagos","Warehouse For Lease On 1,000m² Land", beds, baths, Toilets
"14,000,000",10,3 BEDROOM FLAT / APARTMENT FOR RENT,"Bella Vista estate, Block C5, Banana Island Ikoyi Lagos",Serviced 3 Bedroom Flat With 1 Room Bq,3 beds,3 baths,4 Toilets
